Bildnummer,Y Koordinate,X Koordinate,Bildbeschreibung *,Legende DE **,Legende FR **,Legende IT **,Legende EN **,Map.geo.admin.ch link,Kommentar
pt chamossaire technique 007q,130991,572411,<b>Lac Noir - Petit Chamossaire Villars-sur-Ollon - Umlaufsesselbahn feste Klemmen<\b> Baujahr: <b>1971<\b>,<b>Lac Noir - Petit Chamossaire Villars-sur-Ollon - T‚l‚siŠge … pinces fixes<\b> Ann‚e de construction: <b>1971<\b>,<b>Lac Noir - Petit Chamossaire Villars-sur-Ollon - Funivia a movimento continuo<\b> Anno di costruzione: <b>1971<\b>,<b>Lac Noir - Petit Chamossaire Villars-sur-Ollon - Fixed grip chairlift<\b> Year of construction: <b>1971<\b>,Prflink,,
p2220080,182422,647547,<b>Eisee - Brienzer Rothorn S”renberg - Umlaufsesselbahn feste Klemmen<\b> Baujahr: <b>1973<\b>,<b>Eisee - Brienzer Rothorn S”renberg - T‚l‚siŠge … pinces fixes<\b> Ann‚e de construction: <b>1973<\b>,<b>Eisee - Brienzer Rothorn S”renberg - Funivia a movimento continuo<\b> Anno di costruzione: <b>1973<\b>,<b>Eisee - Brienzer Rothorn S”renberg - Fixed grip chairlift<\b> Year of construction: <b>1973<\b>,Prflink,,
cimg4611,154031,670514,<b>Unterwasser - Hungerberg Oberwald - Umlaufsesselbahn feste Klemmen<\b> Baujahr: <b>1974<\b>,<b>Unterwasser - Hungerberg Oberwald - T‚l‚siŠge … pinces fixes<\b> Ann‚e de construction: <b>1974<\b>,<b>Unterwasser - Hungerberg Oberwald - Funivia a movimento continuo<\b> Anno di costruzione: <b>1974<\b>,<b>Unterwasser - Hungerberg Oberwald - Fixed grip chairlift<\b> Year of construction: <b>1974<\b>,Prflink,,
518_0524a,114378,609120,<b>Bendolla - Les Crˆts Grimentz - Umlaufsesselbahn feste Klemmen<\b> Baujahr: <b>1977<\b>,<b>Bendolla - Les Crˆts Grimentz - T‚l‚siŠge … pinces fixes<\b> Ann‚e de construction: <b>1977<\b>,<b>Bendolla - Les Crˆts Grimentz - Funivia a movimento continuo<\b> Anno di costruzione: <b>1977<\b>,<b>Bendolla - Les Crˆts Grimentz - Fixed grip chairlift<\b> Year of construction: <b>1977<\b>,Prflink,,
cimg4763,106170,637853,<b>Saas Fee - Maste 4 Saas Fee - Umlaufkabinenbahn<\b> Baujahr: <b>1991<\b>,<b>Saas Fee - Maste 4 Saas Fee - T‚l‚cabine … mouvement continu<\b> Ann‚e de construction: <b>1991<\b>,<b>Saas Fee - Maste 4 Saas Fee - Funivia a movimento continuo<\b> Anno di costruzione: <b>1991<\b>,<b>Saas Fee - Maste 4 Saas Fee - Circulating cableway<\b> Year of construction: <b>1991<\b>,Prflink,,
518_1941,199656,718468,<b>Niederschlacht - Httenberg Braunwald - Gruppenumlaufbahn Kabinen<\b> Baujahr: <b>1990<\b>,<b>Niederschlacht - Httenberg Braunwald - T‚l‚cabine puls‚e<\b> Ann‚e de construction: <b>1990<\b>,<b>Niederschlacht - Httenberg Braunwald - Funivia a movimento continuo<\b> Anno di costruzione: <b>1990<\b>,<b>Niederschlacht - Httenberg Braunwald - Cable car in continuous motion<\b> Year of construction: <b>1990<\b>,Prflink,,
518_2353,199830,718180,<b>Httenberg - Grotzenbel Braunwald - Gruppenumlaufbahn Kabinen<\b> Baujahr: <b>1990<\b>,<b>Httenberg - Grotzenbel Braunwald - T‚l‚cabine puls‚e<\b> Ann‚e de construction: <b>1990<\b>,<b>Httenberg - Grotzenbel Braunwald - Funivia a movimento continuo<\b> Anno di costruzione: <b>1990<\b>,<b>Httenberg - Grotzenbel Braunwald - Cable car in continuous motion<\b> Year of construction: <b>1990<\b>,Prflink,,
cimg6148,148520,609359,<b>Adelboden Oey - Adelboden Dorf Adelboden - Einseilgruppenpendelbahn<\b> Baujahr: <b>1990<\b>,<b>Adelboden Oey - Adelboden Dorf Adelboden - T‚l‚ph‚rique monocƒble … groupes de cabines<\b> Ann‚e de construction: <b>1990<\b>,<b>Adelboden Oey - Adelboden Dorf Adelboden - Funivia a va e vieni<\b> Anno di costruzione: <b>1990<\b>,<b>Adelboden Oey - Adelboden Dorf Adelboden - Mono cable aerial tramway with group of cabins<\b> Year of construction: <b>1990<\b>,Prflink,,
cimg4804,103458,637045,<b>Maste 4 - Felskinn Saas Fee - Umlaufkabinenbahn<\b> Baujahr: <b>1994<\b>,<b>Maste 4 - Felskinn Saas Fee - T‚l‚cabine … mouvement continu<\b> Ann‚e de construction: <b>1994<\b>,<b>Maste 4 - Felskinn Saas Fee - Funivia a movimento continuo<\b> Anno di costruzione: <b>1994<\b>,<b>Maste 4 - Felskinn Saas Fee - Circulating cableway<\b> Year of construction: <b>1994<\b>,Prflink,,
604_0059,171090,625002,<b>Beatenberg - Niederhorn Beatenberg - Gruppenumlaufbahn Kabinen<\b> Baujahr: <b>1996<\b>,<b>Beatenberg - Niederhorn Beatenberg - T‚l‚cabine puls‚e<\b> Ann‚e de construction: <b>1996<\b>,<b>Beatenberg - Niederhorn Beatenberg - Funivia a movimento continuo<\b> Anno di costruzione: <b>1996<\b>,<b>Beatenberg - Niederhorn Beatenberg - Cable car in continuous motion<\b> Year of construction: <b>1996<\b>,Prflink,,
518_1300,104444,585683,<b>Croix des Ruinettes - Les Attelas Verbier - Umlaufkabinenbahn<\b> Baujahr: <b>1994<\b>,<b>Croix des Ruinettes - Les Attelas Verbier - T‚l‚cabine … mouvement continu<\b> Ann‚e de construction: <b>1994<\b>,<b>Croix des Ruinettes - Les Attelas Verbier - Funivia a movimento continuo<\b> Anno di costruzione: <b>1994<\b>,<b>Croix des Ruinettes - Les Attelas Verbier - Circulating cableway<\b> Year of construction: <b>1994<\b>,Prflink,,
cimg7400,251469,651095,<b>Bootstransportbahn Rupperswil-Auenstein Auenstein - Standseilbahn<\b> Baujahr: <b>1945<\b>,<b>Bootstransportbahn Rupperswil-Auenstein Auenstein - Funiculaire<\b> Ann‚e de construction: <b>1945<\b>,<b>Bootstransportbahn Rupperswil-Auenstein Auenstein - Funiculare<\b> Anno di costruzione: <b>1945<\b>,<b>Bootstransportbahn Rupperswil-Auenstein Auenstein - funicular railway<\b> Year of construction: <b>1945<\b>,Prflink,,
cimg6524,262090,643020,<b>Tonwerke - K„sleten Frick - Umlaufmaterialbahn<\b> Baujahr: <b>1935<\b>,<b>Tonwerke - K„sleten Frick - T‚l‚cabine … mouvement continu<\b> Ann‚e de construction: <b>1935<\b>,<b>Tonwerke - K„sleten Frick - Funivia a movimento continuo<\b> Anno di costruzione: <b>1935<\b>,<b>Tonwerke - K„sleten Frick - Material circulating cableway<\b> Year of construction: <b>1935<\b>,Prflink,,
cimg2342,254130,759500,<b>Oberegg - St. Anton Oberegg - Skilift<\b> Baujahr: <b>1965<\b>,<b>Oberegg - St. Anton Oberegg - T‚l‚ski<\b> Ann‚e de construction: <b>1965<\b>,<b>Oberegg - St. Anton Oberegg - Skilift<\b> Anno di costruzione: <b>1965<\b>,<b>Oberegg - St. Anton Oberegg - ski lift<\b> Year of construction: <b>1965<\b>,Prflink,,
517_2455a,145299,609842,<b>Birg - Engstligenalp 1 Adelboden - Pendelbahn<\b> Baujahr: <b>1937/1963<\b>,<b>Birg - Engstligenalp 1 Adelboden - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1937/1963<\b>,<b>Birg - Engstligenalp 1 Adelboden - Funivia a va e vieni<\b> Anno di costruzione: <b>1937/1963<\b>,<b>Birg - Engstligenalp 1 Adelboden - aerial tramway<\b> Year of construction: <b>1937/1963<\b>,Prflink,,
cimg1856,172706,628857,<b>Waldegg - Howald Beatenberg - Skilift<\b> Baujahr: <b>1966<\b>,<b>Waldegg - Howald Beatenberg - T‚l‚ski<\b> Ann‚e de construction: <b>1966<\b>,<b>Waldegg - Howald Beatenberg - Skilift<\b> Anno di costruzione: <b>1966<\b>,<b>Waldegg - Howald Beatenberg - ski lift<\b> Year of construction: <b>1966<\b>,Prflink,,
19860802_ikss__0001,162755,666480,<b>Handegg - Handeggfluh Guttannen - Standseilbahn<\b> Baujahr: <b>1948<\b>,<b>Handegg - Handeggfluh Guttannen - Funiculaire<\b> Ann‚e de construction: <b>1948<\b>,<b>Handegg - Handeggfluh Guttannen - Funiculare<\b> Anno di costruzione: <b>1948<\b>,<b>Handegg - Handeggfluh Guttannen - funicular railway<\b> Year of construction: <b>1948<\b>,Prflink,,
cimg4568,158149,668479,<b>Grimselnollen - Hausenegg Guttannen - Pendelbahn<\b> Baujahr: <b>1957<\b>,<b>Grimselnollen - Hausenegg Guttannen - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1957<\b>,<b>Grimselnollen - Hausenegg Guttannen - Funivia a va e vieni<\b> Anno di costruzione: <b>1957<\b>,<b>Grimselnollen - Hausenegg Guttannen - aerial tramway<\b> Year of construction: <b>1957<\b>,Prflink,,
19920806_ikss__0002,171066,661645,<b>Urweid - Chapf Innertkirchen - Standseilbahn<\b> Baujahr: <b>1940<\b>,<b>Urweid - Chapf Innertkirchen - Funiculaire<\b> Ann‚e de construction: <b>1940<\b>,<b>Urweid - Chapf Innertkirchen - Funiculare<\b> Anno di costruzione: <b>1940<\b>,<b>Urweid - Chapf Innertkirchen - funicular railway<\b> Year of construction: <b>1940<\b>,Prflink,,
cimg1884,188115,618268,<b>Schindelberg I Linden - Skilift<\b> Baujahr: <b>1950<\b>,<b>Schindelberg I Linden - T‚l‚ski<\b> Ann‚e de construction: <b>1950<\b>,<b>Schindelberg I Linden - Skilift<\b> Anno di costruzione: <b>1950<\b>,<b>Schindelberg I Linden - ski lift<\b> Year of construction: <b>1950<\b>,Prflink,,
cimg2015,188112,618268,<b>Schindelberg II Linden - Skilift<\b> Baujahr: <b>1969<\b>,<b>Schindelberg II Linden - T‚l‚ski<\b> Ann‚e de construction: <b>1969<\b>,<b>Schindelberg II Linden - Skilift<\b> Anno di costruzione: <b>1969<\b>,<b>Schindelberg II Linden - ski lift<\b> Year of construction: <b>1969<\b>,Prflink,,
cimg1679,178776,598594,<b>Rschegg - Lischboden Rschegg - Skilift<\b> Baujahr: <b>1968<\b>,<b>Rschegg - Lischboden Rschegg - T‚l‚ski<\b> Ann‚e de construction: <b>1968<\b>,<b>Rschegg - Lischboden Rschegg - Skilift<\b> Anno di costruzione: <b>1968<\b>,<b>Rschegg - Lischboden Rschegg - ski lift<\b> Year of construction: <b>1968<\b>,Prflink,,
cimg1782,184781,634534,<b>Bumbach - Roseggli Schangnau - Skilift<\b> Baujahr: <b>1960<\b>,<b>Bumbach - Roseggli Schangnau - T‚l‚ski<\b> Ann‚e de construction: <b>1960<\b>,<b>Bumbach - Roseggli Schangnau - Skilift<\b> Anno di costruzione: <b>1960<\b>,<b>Bumbach - Roseggli Schangnau - ski lift<\b> Year of construction: <b>1960<\b>,Prflink,,
cimg1734b,174850,622950,<b>Wilerallmi - Alpiglen Sigriswil - Skilift<\b> Baujahr: <b>1970<\b>,<b>Wilerallmi - Alpiglen Sigriswil - T‚l‚ski<\b> Ann‚e de construction: <b>1970<\b>,<b>Wilerallmi - Alpiglen Sigriswil - Skilift<\b> Anno di costruzione: <b>1970<\b>,<b>Wilerallmi - Alpiglen Sigriswil - ski lift<\b> Year of construction: <b>1970<\b>,Prflink,,
517_8933,228950,583807,<b>La Golatte - Montoz Tavannes - Skilift<\b> Baujahr: <b>1957<\b>,<b>La Golatte - Montoz Tavannes - T‚l‚ski<\b> Ann‚e de construction: <b>1957<\b>,<b>La Golatte - Montoz Tavannes - Skilift<\b> Anno di costruzione: <b>1957<\b>,<b>La Golatte - Montoz Tavannes - ski lift<\b> Year of construction: <b>1957<\b>,Prflink,,
520_5671,189760,554862,<b>T‚l‚ski nautique Estavayer Estavayer-Le-Lac - Skilift<\b> Baujahr: <b>1992<\b>,<b>T‚l‚ski nautique Estavayer Estavayer-Le-Lac - T‚l‚ski<\b> Ann‚e de construction: <b>1992<\b>,<b>T‚l‚ski nautique Estavayer Estavayer-Le-Lac - Skilift<\b> Anno di costruzione: <b>1992<\b>,<b>T‚l‚ski nautique Estavayer Estavayer-Le-Lac - ski lift<\b> Year of construction: <b>1992<\b>,Prflink,,
518_3100,200895,719197,<b>Mattwald Braunwald - Skilift<\b> Baujahr: <b>1968<\b>,<b>Mattwald Braunwald - T‚l‚ski<\b> Ann‚e de construction: <b>1968<\b>,<b>Mattwald Braunwald - Skilift<\b> Anno di costruzione: <b>1968<\b>,<b>Mattwald Braunwald - ski lift<\b> Year of construction: <b>1968<\b>,Prflink,,
cimg3590,202955,721390,<b>Luchsingen - Brunnenberg Luchsingen - Pendelbahn<\b> Baujahr: <b>1948<\b>,<b>Luchsingen - Brunnenberg Luchsingen - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1948<\b>,<b>Luchsingen - Brunnenberg Luchsingen - Funivia a va e vieni<\b> Anno di costruzione: <b>1948<\b>,<b>Luchsingen - Brunnenberg Luchsingen - aerial tramway<\b> Year of construction: <b>1948<\b>,Prflink,,
cimg2309,215264,725675,<b>Schilt Mollis - Skilift<\b> Baujahr: <b>1959<\b>,<b>Schilt Mollis - T‚l‚ski<\b> Ann‚e de construction: <b>1959<\b>,<b>Schilt Mollis - Skilift<\b> Anno di costruzione: <b>1959<\b>,<b>Schilt Mollis - ski lift<\b> Year of construction: <b>1959<\b>,Prflink,,
cimg3738,212927,722218,<b>Wasserschloss L”ntsch Netstal - Pendelbahn<\b> Baujahr: <b>1972<\b>,<b>Wasserschloss L”ntsch Netstal - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1972<\b>,<b>Wasserschloss L”ntsch Netstal - Funivia a va e vieni<\b> Anno di costruzione: <b>1972<\b>,<b>Wasserschloss L”ntsch Netstal - aerial tramway<\b> Year of construction: <b>1972<\b>,Prflink,,
cimg3729,204525,725450,<b>Berg - Drstenboden Schwanden - Pendelbahn<\b> Baujahr: <b>1957<\b>,<b>Berg - Drstenboden Schwanden - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1957<\b>,<b>Berg - Drstenboden Schwanden - Funivia a va e vieni<\b> Anno di costruzione: <b>1957<\b>,<b>Berg - Drstenboden Schwanden - aerial tramway<\b> Year of construction: <b>1957<\b>,Prflink,,
ikss_scan_0008b,161700,752040,<b>B„renburg - Wasserschloss Andeer - Pendelbahn<\b> Baujahr: <b>1959<\b>,<b>B„renburg - Wasserschloss Andeer - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1959<\b>,<b>B„renburg - Wasserschloss Andeer - Funivia a va e vieni<\b> Anno di costruzione: <b>1959<\b>,<b>B„renburg - Wasserschloss Andeer - aerial tramway<\b> Year of construction: <b>1959<\b>,Prflink,,
img_5188b,155115,753030,<b>Ferrera - Wasserschloss Innerferrera - Pendelbahn<\b> Baujahr: <b>1959<\b>,<b>Ferrera - Wasserschloss Innerferrera - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1959<\b>,<b>Ferrera - Wasserschloss Innerferrera - Funivia a va e vieni<\b> Anno di costruzione: <b>1959<\b>,<b>Ferrera - Wasserschloss Innerferrera - aerial tramway<\b> Year of construction: <b>1959<\b>,Prflink,,
cimg6126,170360,701360,<b>Sedrun - Tgom Tavetsch - Pendelbahn<\b> Baujahr: <b>1958<\b>,<b>Sedrun - Tgom Tavetsch - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1958<\b>,<b>Sedrun - Tgom Tavetsch - Funivia a va e vieni<\b> Anno di costruzione: <b>1958<\b>,<b>Sedrun - Tgom Tavetsch - aerial tramway<\b> Year of construction: <b>1958<\b>,Prflink,,
lsb_vicosoprano_015,137995,770947,<b>Piz Murtaira Vicosoprano - Pendelbahn<\b> Baujahr: <b>1956<\b>,<b>Piz Murtaira Vicosoprano - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1956<\b>,<b>Piz Murtaira Vicosoprano - Funivia a va e vieni<\b> Anno di costruzione: <b>1956<\b>,<b>Piz Murtaira Vicosoprano - aerial tramway<\b> Year of construction: <b>1956<\b>,Prflink,,
cimg3265,206900,679850,<b>Vitznau - Wissifluh Vitznau - Einseilpendelbahn<\b> Baujahr: <b>1964<\b>,<b>Vitznau - Wissifluh Vitznau - T‚l‚ph‚rique monocƒble … va-et-vient<\b> Ann‚e de construction: <b>1964<\b>,<b>Vitznau - Wissifluh Vitznau - Funivia a va e vieni<\b> Anno di costruzione: <b>1964<\b>,<b>Vitznau - Wissifluh Vitznau - Mono cable aerial tramway <\b> Year of construction: <b>1964<\b>,Prflink,,
cimg2591,196000,670307,<b>Eggwald Dallenwil - Skilift<\b> Baujahr: <b>1967<\b>,<b>Eggwald Dallenwil - T‚l‚ski<\b> Ann‚e de construction: <b>1967<\b>,<b>Eggwald Dallenwil - Skilift<\b> Anno di costruzione: <b>1967<\b>,<b>Eggwald Dallenwil - ski lift<\b> Year of construction: <b>1967<\b>,Prflink,,
cimg3923,204690,661988,<b>Hotel Fr„kmnt Hergiswil - Korblift<\b> Baujahr: <b>2000<\b>,<b>Hotel Fr„kmnt Hergiswil - T‚l‚benne<\b> Ann‚e de construction: <b>2000<\b>,<b>Hotel Fr„kmnt Hergiswil - <\b> Anno di costruzione: <b>2000<\b>,<b>Hotel Fr„kmnt Hergiswil - <\b> Year of construction: <b>2000<\b>,Prflink,,
cimg2959,195980,672960,<b>Allmendi - Wallibalm Wolfenschiessen - Pendelbahn<\b> Baujahr: <b>1959<\b>,<b>Allmendi - Wallibalm Wolfenschiessen - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1959<\b>,<b>Allmendi - Wallibalm Wolfenschiessen - Funivia a va e vieni<\b> Anno di costruzione: <b>1959<\b>,<b>Allmendi - Wallibalm Wolfenschiessen - aerial tramway<\b> Year of construction: <b>1959<\b>,Prflink,,
cimg3096,191343,671472,<b>Grafenort - Brunniswald Wolfenschiessen - Pendelbahn<\b> Baujahr: <b>1969<\b>,<b>Grafenort - Brunniswald Wolfenschiessen - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1969<\b>,<b>Grafenort - Brunniswald Wolfenschiessen - Funivia a va e vieni<\b> Anno di costruzione: <b>1969<\b>,<b>Grafenort - Brunniswald Wolfenschiessen - aerial tramway<\b> Year of construction: <b>1969<\b>,Prflink,,
cimg2477,238505,713763,<b>Oberholz I Goldingen - Skilift<\b> Baujahr: <b>1963<\b>,<b>Oberholz I Goldingen - T‚l‚ski<\b> Ann‚e de construction: <b>1963<\b>,<b>Oberholz I Goldingen - Skilift<\b> Anno di costruzione: <b>1963<\b>,<b>Oberholz I Goldingen - ski lift<\b> Year of construction: <b>1963<\b>,Prflink,,
cimg2428,253566,750639,<b>V”gelinsegg St. Gallen - Skilift<\b> Baujahr: <b>1958<\b>,<b>V”gelinsegg St. Gallen - T‚l‚ski<\b> Ann‚e de construction: <b>1958<\b>,<b>V”gelinsegg St. Gallen - Skilift<\b> Anno di costruzione: <b>1958<\b>,<b>V”gelinsegg St. Gallen - ski lift<\b> Year of construction: <b>1958<\b>,Prflink,,
cimg2247,222565,697988,<b>Bennau I (links) Einsiedeln - Skilift<\b> Baujahr: <b>1963<\b>,<b>Bennau I (links) Einsiedeln - T‚l‚ski<\b> Ann‚e de construction: <b>1963<\b>,<b>Bennau I (links) Einsiedeln - Skilift<\b> Anno di costruzione: <b>1963<\b>,<b>Bennau I (links) Einsiedeln - ski lift<\b> Year of construction: <b>1963<\b>,Prflink,,
cimg3811,222558,697979,<b>Bennau II (rechts) Einsiedeln - Skilift<\b> Baujahr: <b>1967<\b>,<b>Bennau II (rechts) Einsiedeln - T‚l‚ski<\b> Ann‚e de construction: <b>1967<\b>,<b>Bennau II (rechts) Einsiedeln - Skilift<\b> Anno di costruzione: <b>1967<\b>,<b>Bennau II (rechts) Einsiedeln - ski lift<\b> Year of construction: <b>1967<\b>,Prflink,,
cimg2102,203913,689711,<b>Fronalphof Morschach - Skilift<\b> Baujahr: <b>1963<\b>,<b>Fronalphof Morschach - T‚l‚ski<\b> Ann‚e de construction: <b>1963<\b>,<b>Fronalphof Morschach - Skilift<\b> Anno di costruzione: <b>1963<\b>,<b>Fronalphof Morschach - ski lift<\b> Year of construction: <b>1963<\b>,Prflink,,
cimg2204,213240,692540,<b>Herrenboden - B„renfang Schwyz - Skilift<\b> Baujahr: <b>1950<\b>,<b>Herrenboden - B„renfang Schwyz - T‚l‚ski<\b> Ann‚e de construction: <b>1950<\b>,<b>Herrenboden - B„renfang Schwyz - Skilift<\b> Anno di costruzione: <b>1950<\b>,<b>Herrenboden - B„renfang Schwyz - ski lift<\b> Year of construction: <b>1950<\b>,Prflink,,
19971002_ikss_03,144107,682538,"<b>Robiei - Cortino / ""Cavagnoli"" Bignasco - Pendelbahn<\b> Baujahr: <b>1965<\b>","<b>Robiei - Cortino / ""Cavagnoli"" Bignasco - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1965<\b>","<b>Robiei - Cortino / ""Cavagnoli"" Bignasco - Funivia a va e vieni<\b> Anno di costruzione: <b>1965<\b>","<b>Robiei - Cortino / ""Cavagnoli"" Bignasco - aerial tramway<\b> Year of construction: <b>1965<\b>",Prflink,,
cimg6867,113508,721325,<b>Camorino - Croveggia Camorino - Einseilpendelbahn<\b> Baujahr: <b>1969<\b>,<b>Camorino - Croveggia Camorino - T‚l‚ph‚rique monocƒble … va-et-vient<\b> Ann‚e de construction: <b>1969<\b>,<b>Camorino - Croveggia Camorino - Funivia a va e vieni<\b> Anno di costruzione: <b>1969<\b>,<b>Camorino - Croveggia Camorino - Mono cable aerial tramway <\b> Year of construction: <b>1969<\b>,Prflink,,
cimg3139,180590,695850,<b>Bristen - Waldiberg Bristen - Pendelbahn<\b> Baujahr: <b>1979<\b>,<b>Bristen - Waldiberg Bristen - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1979<\b>,<b>Bristen - Waldiberg Bristen - Funivia a va e vieni<\b> Anno di costruzione: <b>1979<\b>,<b>Bristen - Waldiberg Bristen - aerial tramway<\b> Year of construction: <b>1979<\b>,Prflink,,
cimg3250,198669,689505,<b>Tellsplatte - Unteraxen Sisikon - Pendelbahn<\b> Baujahr: <b>1960<\b>,<b>Tellsplatte - Unteraxen Sisikon - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1960<\b>,<b>Tellsplatte - Unteraxen Sisikon - Funivia a va e vieni<\b> Anno di costruzione: <b>1960<\b>,<b>Tellsplatte - Unteraxen Sisikon - aerial tramway<\b> Year of construction: <b>1960<\b>,Prflink,,
cimg6231,192330,697360,<b>Witerschwanden - Eggenbergli Spiringen - Pendelbahn<\b> Baujahr: <b>1953<\b>,<b>Witerschwanden - Eggenbergli Spiringen - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1953<\b>,<b>Witerschwanden - Eggenbergli Spiringen - Funivia a va e vieni<\b> Anno di costruzione: <b>1953<\b>,<b>Witerschwanden - Eggenbergli Spiringen - aerial tramway<\b> Year of construction: <b>1953<\b>,Prflink,,
cimg2754,127455,570820,<b>H“tel du Parc I Ollon - Skilift<\b> Baujahr: <b>1954<\b>,<b>H“tel du Parc I Ollon - T‚l‚ski<\b> Ann‚e de construction: <b>1954<\b>,<b>H“tel du Parc I Ollon - Skilift<\b> Anno di costruzione: <b>1954<\b>,<b>H“tel du Parc I Ollon - ski lift<\b> Year of construction: <b>1954<\b>,Prflink,,
517_9621a,137817,573564,<b>Les Parchets I Ormont-dessous - Skilift<\b> Baujahr: <b>1959<\b>,<b>Les Parchets I Ormont-dessous - T‚l‚ski<\b> Ann‚e de construction: <b>1959<\b>,<b>Les Parchets I Ormont-dessous - Skilift<\b> Anno di costruzione: <b>1959<\b>,<b>Les Parchets I Ormont-dessous - ski lift<\b> Year of construction: <b>1959<\b>,Prflink,,
cimg4718,132565,656610,<b>Heiligkreuz - Kumme Binn - Pendelbahn<\b> Baujahr: <b>1969<\b>,<b>Heiligkreuz - Kumme Binn - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1969<\b>,<b>Heiligkreuz - Kumme Binn - Funivia a va e vieni<\b> Anno di costruzione: <b>1969<\b>,<b>Heiligkreuz - Kumme Binn - aerial tramway<\b> Year of construction: <b>1969<\b>,Prflink,,
cimg7260,112039,574247,<b>Les Garettes - Col de Fully Fully - Pendelbahn<\b> Baujahr: <b>1915<\b>,<b>Les Garettes - Col de Fully Fully - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1915<\b>,<b>Les Garettes - Col de Fully Fully - Funivia a va e vieni<\b> Anno di costruzione: <b>1915<\b>,<b>Les Garettes - Col de Fully Fully - aerial tramway<\b> Year of construction: <b>1915<\b>,Prflink,,
cimg2854,138569,641399,<b>Hohstock Naters - Skilift<\b> Baujahr: <b>1982<\b>,<b>Hohstock Naters - T‚l‚ski<\b> Ann‚e de construction: <b>1982<\b>,<b>Hohstock Naters - Skilift<\b> Anno di costruzione: <b>1982<\b>,<b>Hohstock Naters - ski lift<\b> Year of construction: <b>1982<\b>,Prflink,,
cimg3955,135090,642415,<b>Rischinen - Massa Naters - Pendelbahn<\b> Baujahr: <b>1961<\b>,<b>Rischinen - Massa Naters - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1961<\b>,<b>Rischinen - Massa Naters - Funivia a va e vieni<\b> Anno di costruzione: <b>1961<\b>,<b>Rischinen - Massa Naters - aerial tramway<\b> Year of construction: <b>1961<\b>,Prflink,,
dsc01026,103613,635285,<b>Gletscherlift L„ngfluh - Panoramaplatz Saas-Fee - Skilift<\b> Baujahr: <b>1994<\b>,<b>Gletscherlift L„ngfluh - Panoramaplatz Saas-Fee - T‚l‚ski<\b> Ann‚e de construction: <b>1994<\b>,<b>Gletscherlift L„ngfluh - Panoramaplatz Saas-Fee - Skilift<\b> Anno di costruzione: <b>1994<\b>,<b>Gletscherlift L„ngfluh - Panoramaplatz Saas-Fee - ski lift<\b> Year of construction: <b>1994<\b>,Prflink,,
test 1000,150605,667545,<b>Ulrichen - Altstafel Ulrichen - Einseilpendelbahn<\b> Baujahr: <b>1962<\b>,<b>Ulrichen - Altstafel Ulrichen - T‚l‚ph‚rique monocƒble … va-et-vient<\b> Ann‚e de construction: <b>1962<\b>,<b>Ulrichen - Altstafel Ulrichen - Funivia a va e vieni<\b> Anno di costruzione: <b>1962<\b>,<b>Ulrichen - Altstafel Ulrichen - Mono cable aerial tramway <\b> Year of construction: <b>1962<\b>,Prflink,,
cimg6952,96150,623675,<b>Schiebuwaldji Zermatt - Standseilbahn<\b> Baujahr: <b>1967<\b>,<b>Schiebuwaldji Zermatt - Funiculaire<\b> Ann‚e de construction: <b>1967<\b>,<b>Schiebuwaldji Zermatt - Funiculare<\b> Anno di costruzione: <b>1967<\b>,<b>Schiebuwaldji Zermatt - funicular railway<\b> Year of construction: <b>1967<\b>,Prflink,,
cimg7077,95700,623410,<b>Winkelmatten - Zmutt Zermatt - Pendelbahn<\b> Baujahr: <b>1968<\b>,<b>Winkelmatten - Zmutt Zermatt - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1968<\b>,<b>Winkelmatten - Zmutt Zermatt - Funivia a va e vieni<\b> Anno di costruzione: <b>1968<\b>,<b>Winkelmatten - Zmutt Zermatt - aerial tramway<\b> Year of construction: <b>1968<\b>,Prflink,,
